start,end,orig_raw,orig_clean,orig_repr,orig_hex_utf8,orig_hex_replace,asr_avg_logprob,asr_no_speech_prob,fixed,fixed_lang,translated,confidence
1.1,1.94,ฃࠤไ� aisle,ฃࠤไ� aisle,'ฃࠤไ� aisle',e0b883e0a0a4e0b984efbfbd206169736c65,e0b883e0a0a4e0b984efbfbd206169736c65,-1.5604991488986546,0.07179899513721466,ฃࠤไ� aisle,en,,0.85
2.34,3.74,༭ੈༀੀ Janet,༭ੈༀੀ Janet,'༭ੈༀੀ Janet',e0bcade0a988e0bc80e0a980204a616e6574,e0bcade0a988e0bc80e0a980204a616e6574,-1.5604991488986546,0.07179899513721466,༭ੈༀੀ ज़नेत्,mr,,0.85
4.94,5.34,"༭ੈ༄ੈ༄༄ੈ, Wie","༭ੈ༄ੈ༄༄ੈ, Wie","'༭ੈ༄ੈ༄༄ੈ, Wie'",e0bcade0a988e0bc84e0a988e0bc84e0bc84e0a9882c20576965,e0bcade0a988e0bc84e0a988e0bc84e0bc84e0a9882c20576965,-1.5604991488986546,0.07179899513721466,"༭ੈ༄ੈ༄༄ੈ, Wइए",mr,,0.85
5.94,7.28,"༎ༀ༁༇, Red","༎ༀ༁༇, Red","'༎ༀ༁༇, Red'",e0bc8ee0bc80e0bc81e0bc872c20526564,e0bc8ee0bc80e0bc81e0bc872c20526564,-1.5604991488986546,0.07179899513721466,"༎ༀ༁༇, ऱेद्",mr,,0.85
7.72,19.78,র༏༄༓�,র༏༄༓�,'র༏༄༓�',e0a6b0e0bc8fe0bc84e0bc93efbfbd,e0a6b0e0bc8fe0bc84e0bc93efbfbd,-1.5604991488986546,0.07179899513721466,র༏༄༓�,en,र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र र  र र र र र  र र  र  र र र   र र र र र  र  र  र  र  र  र     र र    र र     र      र      र र  र    र र,0.85
20.08,20.6,༎་༎༈༄༈་ maple,༎་༎༈༄༈་ maple,'༎་༎༈༄༈་ maple',e0bc8ee0bc8be0bc8ee0bc88e0bc84e0bc88e0bc8b206d61706c65,e0bc8ee0bc8be0bc8ee0bc88e0bc84e0bc88e0bc8b206d61706c65,-1.5604991488986546,0.07179899513721466,༎་༎༈༄༈་ मप्ले,mr,,0.85
24.46,24.86,༆༈༆ༀ༈༄༄༄༄༄༁༄༄༄༄༄ilan,༆༈༆ༀ༈༄༄༄༄༄༁༄༄༄༄༄ilan,'༆༈༆ༀ༈༄༄༄༄༄༁༄༄༄༄༄ilan',e0bc86e0bc88e0bc86e0bc80e0bc88e0bc84e0bc84e0bc84e0bc84e0bc84e0bc81e0bc84e0bc84e0bc84e0bc84e0bc84696c616e,e0bc86e0bc88e0bc86e0bc80e0bc88e0bc84e0bc84e0bc84e0bc84e0bc84e0bc81e0bc84e0bc84e0bc84e0bc84e0bc84696c616e,-1.5604991488986546,0.07179899513721466,༆༈༆ༀ༈༄༄༄༄༄༁༄༄༄༄༄इलन्,mr,â € œI will not,0.85
27.9,28.34,་༈༈༄༁༈༁ༀ༄༄༁༈ༀ༄ༀ༁.,་༈༈༄༁༈༁ༀ༄༄༁༈ༀ༄ༀ༁.,'་༈༈༄༁༈༁ༀ༄༄༁༈ༀ༄ༀ༁.',e0bc8be0bc88e0bc88e0bc84e0bc81e0bc88e0bc81e0bc80e0bc84e0bc84e0bc81e0bc88e0bc80e0bc84e0bc80e0bc812e,e0bc8be0bc88e0bc88e0bc84e0bc81e0bc88e0bc81e0bc80e0bc84e0bc84e0bc81e0bc88e0bc80e0bc84e0bc80e0bc812e,-1.5604991488986546,0.07179899513721466,་༈༈༄༁༈༁ༀ༄༄༁༈ༀ༄ༀ༁.,en,^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^,0.85
28.34,30.34,ये बेटने साथी प्रसान दिले जा थे,ये बेटने साथी प्रसान दिले जा थे,'ये बेटने साथी प्रसान दिले जा थे',e0a4afe0a58720e0a4ace0a587e0a49fe0a4a8e0a58720e0a4b8e0a4bee0a4a5e0a58020e0a4aae0a58de0a4b0e0a4b8e0a4bee0a4a820e0a4a6e0a4bfe0a4b2e0a58720e0a49ce0a4be20e0a4a5e0a587,e0a4afe0a58720e0a4ace0a587e0a49fe0a4a8e0a58720e0a4b8e0a4bee0a4a5e0a58020e0a4aae0a58de0a4b0e0a4b8e0a4bee0a4a820e0a4a6e0a4bfe0a4b2e0a58720e0a49ce0a4be20e0a4a5e0a587,-0.7320729488796658,0.8691550493240356,ये बेटने साथी प्रसान दिले जा थे,mr,The island was given the pleasure of companionship,0.85
30.34,33.7,श्यडी वेवष्तापनवर सबबधद प्रषिक्ष्ष्यन,श्यडी वेवष्तापनवर सबबधद प्रषिक्ष्ष्यन,'श्यडी वेवष्तापनवर सबबधद प्रषिक्ष्ष्यन',e0a4b6e0a58de0a4afe0a4a1e0a58020e0a4b5e0a587e0a4b5e0a4b7e0a58de0a4a4e0a4bee0a4aae0a4a8e0a4b5e0a4b020e0a4b8e0a4ace0a4ace0a4a7e0a4a620e0a4aae0a58de0a4b0e0a4b7e0a4bfe0a495e0a58de0a4b7e0a58de0a4b7e0a58de0a4afe0a4a8,e0a4b6e0a58de0a4afe0a4a1e0a58020e0a4b5e0a587e0a4b5e0a4b7e0a58de0a4a4e0a4bee0a4aae0a4a8e0a4b5e0a4b020e0a4b8e0a4ace0a4ace0a4a7e0a4a620e0a4aae0a58de0a4b0e0a4b7e0a4bfe0a495e0a58de0a4b7e0a58de0a4b7e0a58de0a4afe0a4a8,-0.7320729488796658,0.8691550493240356,श्यडी वेवष्तापनवर सबबधद प्रषिक्ष्ष्यन,hi,All-round training on shady design,0.85
33.7,37.34,अने एक्ष्पोच्चर देवन विस्ठार अनी सेवा प्रदात कह नहीं,अने एक्ष्पोच्चर देवन विस्ठार अनी सेवा प्रदात कह नहीं,'अने एक्ष्पोच्चर देवन विस्ठार अनी सेवा प्रदात कह नहीं',e0a485e0a4a8e0a58720e0a48fe0a495e0a58de0a4b7e0a58de0a4aae0a58be0a49ae0a58de0a49ae0a4b020e0a4a6e0a587e0a4b5e0a4a820e0a4b5e0a4bfe0a4b8e0a58de0a4a0e0a4bee0a4b020e0a485e0a4a8e0a58020e0a4b8e0a587e0a4b5e0a4be20e0a4aae0a58de0a4b0e0a4a6e0a4bee0a4a420e0a495e0a4b920e0a4a8e0a4b9e0a580e0a482,e0a485e0a4a8e0a58720e0a48fe0a495e0a58de0a4b7e0a58de0a4aae0a58be0a49ae0a58de0a49ae0a4b020e0a4a6e0a587e0a4b5e0a4a820e0a4b5e0a4bfe0a4b8e0a58de0a4a0e0a4bee0a4b020e0a485e0a4a8e0a58020e0a4b8e0a587e0a4b5e0a4be20e0a4aae0a58de0a4b0e0a4a6e0a4bee0a4a420e0a495e0a4b920e0a4a8e0a4b9e0a580e0a482,-0.7320729488796658,0.8691550493240356,अने एक्ष्पोच्चर देवन विस्ठार अनी सेवा प्रदात कह नहीं,hi,And the exponent Devan Vistara and the service provider are not called,0.85
37.34,41.1,"फ्यल मारग दरषक बखरि मित्र, पषुसकी","फ्यल मारग दरषक बखरि मित्र, पषुसकी","'फ्यल मारग दरषक बखरि मित्र, पषुसकी'",e0a4abe0a58de0a4afe0a4b220e0a4aee0a4bee0a4b0e0a49720e0a4a6e0a4b0e0a4b7e0a49520e0a4ace0a496e0a4b0e0a4bf20e0a4aee0a4bfe0a4a4e0a58de0a4b02c20e0a4aae0a4b7e0a581e0a4b8e0a495e0a580,e0a4abe0a58de0a4afe0a4b220e0a4aee0a4bee0a4b0e0a49720e0a4a6e0a4b0e0a4b7e0a49520e0a4ace0a496e0a4b0e0a4bf20e0a4aee0a4bfe0a4a4e0a58de0a4b02c20e0a4aae0a4b7e0a581e0a4b8e0a495e0a580,-0.7320729488796658,0.8691550493240356,"फ्यल मारग दरषक बखरि मित्र, पषुसकी",hi,Fail guide Bakhri friend Pashuski,0.85
41.1,45.62,जिने करून शीली पारनरना तंपर नयन अन शीवांचा प्रसर असाथि ख़ करती बद्तां।,जिने करून शीली पारनरना तंपर नयन अन शीवांचा प्रसर असाथि ख़ करती बद्तां।,'जिने करून शीली पारनरना तंपर नयन अन शीवांचा प्रसर असाथि ख़ करती बद्तां।',e0a49ce0a4bfe0a4a8e0a58720e0a495e0a4b0e0a582e0a4a820e0a4b6e0a580e0a4b2e0a58020e0a4aae0a4bee0a4b0e0a4a8e0a4b0e0a4a8e0a4be20e0a4a4e0a482e0a4aae0a4b020e0a4a8e0a4afe0a4a820e0a485e0a4a820e0a4b6e0a580e0a4b5e0a4bee0a482e0a49ae0a4be20e0a4aae0a58de0a4b0e0a4b8e0a4b020e0a485e0a4b8e0a4bee0a4a5e0a4bf20e0a496e0a4bc20e0a495e0a4b0e0a4a4e0a58020e0a4ace0a4a6e0a58de0a4a4e0a4bee0a482e0a5a4,e0a49ce0a4bfe0a4a8e0a58720e0a495e0a4b0e0a582e0a4a820e0a4b6e0a580e0a4b2e0a58020e0a4aae0a4bee0a4b0e0a4a8e0a4b0e0a4a8e0a4be20e0a4a4e0a482e0a4aae0a4b020e0a4a8e0a4afe0a4a820e0a485e0a4a820e0a4b6e0a580e0a4b5e0a4bee0a482e0a49ae0a4be20e0a4aae0a58de0a4b0e0a4b8e0a4b020e0a485e0a4b8e0a4bee0a4a5e0a4bf20e0a496e0a4bc20e0a495e0a4b0e0a4a4e0a58020e0a4ace0a4a6e0a58de0a4a4e0a4bee0a482e0a5a4,-0.8307796139187283,0.34785202145576477,जिने करून शीली पारनरना तंपर नयन अन शीवांचा प्रसर असाथि ख़ करती बद्तां।,hi,"By doing this, Shili Parnarana is able to spread the message of Tamper Nayan and Shiva.",0.85
46.02,54.74,आदर्श्य अनी पाइदेश शीली विव्स्ता पन पदती वर शीली पा़कांची च्षमता वाडवने।,आदर्श्य अनी पाइदेश शीली विव्स्ता पन पदती वर शीली पा़कांची च्षमता वाडवने।,'आदर्श्य अनी पाइदेश शीली विव्स्ता पन पदती वर शीली पा़कांची च्षमता वाडवने।',e0a486e0a4a6e0a4b0e0a58de0a4b6e0a58de0a4af20e0a485e0a4a8e0a58020e0a4aae0a4bee0a487e0a4a6e0a587e0a4b620e0a4b6e0a580e0a4b2e0a58020e0a4b5e0a4bfe0a4b5e0a58de0a4b8e0a58de0a4a4e0a4be20e0a4aae0a4a820e0a4aae0a4a6e0a4a4e0a58020e0a4b5e0a4b020e0a4b6e0a580e0a4b2e0a58020e0a4aae0a4bee0a4bce0a495e0a4bee0a482e0a49ae0a58020e0a49ae0a58de0a4b7e0a4aee0a4a4e0a4be20e0a4b5e0a4bee0a4a1e0a4b5e0a4a8e0a587e0a5a4,e0a486e0a4a6e0a4b0e0a58de0a4b6e0a58de0a4af20e0a485e0a4a8e0a58020e0a4aae0a4bee0a487e0a4a6e0a587e0a4b620e0a4b6e0a580e0a4b2e0a58020e0a4b5e0a4bfe0a4b5e0a58de0a4b8e0a58de0a4a4e0a4be20e0a4aae0a4a820e0a4aae0a4a6e0a4a4e0a58020e0a4b5e0a4b020e0a4b6e0a580e0a4b2e0a58020e0a4aae0a4bee0a4bce0a495e0a4bee0a482e0a49ae0a58020e0a49ae0a58de0a4b7e0a4aee0a4a4e0a4be20e0a4b5e0a4bee0a4a1e0a4b5e0a4a8e0a587e0a5a4,-0.8307796139187283,0.34785202145576477,आदर्श्य अनी पाइदेश शीली विव्स्ता पन पदती वर शीली पा़कांची च्षमता वाडवने।,hi,The ideal and the ideal are the layers of the layers on the top of the sheet.,0.85
54.74,84.7,the,the,'the',746865,746865,-2.4895956039428713,0.4434715807437897,थे,mr,There were,0.85
126.54,133.54,"वाडा वेवस्ता पन शेलेंचा आरोगे द्रुष्टि कुना तुन आरोगगिदाई वाडा बंगाम करने गर्जिचा है,","वाडा वेवस्ता पन शेलेंचा आरोगे द्रुष्टि कुना तुन आरोगगिदाई वाडा बंगाम करने गर्जिचा है,","'वाडा वेवस्ता पन शेलेंचा आरोगे द्रुष्टि कुना तुन आरोगगिदाई वाडा बंगाम करने गर्जिचा है,'",e0a4b5e0a4bee0a4a1e0a4be20e0a4b5e0a587e0a4b5e0a4b8e0a58de0a4a4e0a4be20e0a4aae0a4a820e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a486e0a4b0e0a58be0a497e0a58720e0a4a6e0a58de0a4b0e0a581e0a4b7e0a58de0a49fe0a4bf20e0a495e0a581e0a4a8e0a4be20e0a4a4e0a581e0a4a820e0a486e0a4b0e0a58be0a497e0a497e0a4bfe0a4a6e0a4bee0a48820e0a4b5e0a4bee0a4a1e0a4be20e0a4ace0a482e0a497e0a4bee0a4ae20e0a495e0a4b0e0a4a8e0a58720e0a497e0a4b0e0a58de0a49ce0a4bfe0a49ae0a4be20e0a4b9e0a5882c,e0a4b5e0a4bee0a4a1e0a4be20e0a4b5e0a587e0a4b5e0a4b8e0a58de0a4a4e0a4be20e0a4aae0a4a820e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a486e0a4b0e0a58be0a497e0a58720e0a4a6e0a58de0a4b0e0a581e0a4b7e0a58de0a49fe0a4bf20e0a495e0a581e0a4a8e0a4be20e0a4a4e0a581e0a4a820e0a486e0a4b0e0a58be0a497e0a497e0a4bfe0a4a6e0a4bee0a48820e0a4b5e0a4bee0a4a1e0a4be20e0a4ace0a482e0a497e0a4bee0a4ae20e0a495e0a4b0e0a4a8e0a58720e0a497e0a4b0e0a58de0a49ce0a4bfe0a49ae0a4be20e0a4b9e0a5882c,-0.40046375698513453,0.2627391815185547,"वाडा वेवस्ता पन शेलेंचा आरोगे द्रुष्टि कुना तुन आरोगगिदाई वाडा बंगाम करने गर्जिचा है,",mr,Wada Vesta Pun Shell's cure Drushti Kuna Tun Arogya Gidai Wada Bangam Karne is roaring.,0.85
133.54,139.54,"तसेच चोर अनी जंगलु पशुंचा हल्यन पासुन सवरक्षन होने शाटी वाडा बंगाम करने आवशक है,","तसेच चोर अनी जंगलु पशुंचा हल्यन पासुन सवरक्षन होने शाटी वाडा बंगाम करने आवशक है,","'तसेच चोर अनी जंगलु पशुंचा हल्यन पासुन सवरक्षन होने शाटी वाडा बंगाम करने आवशक है,'",e0a4a4e0a4b8e0a587e0a49a20e0a49ae0a58be0a4b020e0a485e0a4a8e0a58020e0a49ce0a482e0a497e0a4b2e0a58120e0a4aae0a4b6e0a581e0a482e0a49ae0a4be20e0a4b9e0a4b2e0a58de0a4afe0a4a820e0a4aae0a4bee0a4b8e0a581e0a4a820e0a4b8e0a4b5e0a4b0e0a495e0a58de0a4b7e0a4a820e0a4b9e0a58be0a4a8e0a58720e0a4b6e0a4bee0a49fe0a58020e0a4b5e0a4bee0a4a1e0a4be20e0a4ace0a482e0a497e0a4bee0a4ae20e0a495e0a4b0e0a4a8e0a58720e0a486e0a4b5e0a4b6e0a49520e0a4b9e0a5882c,e0a4a4e0a4b8e0a587e0a49a20e0a49ae0a58be0a4b020e0a485e0a4a8e0a58020e0a49ce0a482e0a497e0a4b2e0a58120e0a4aae0a4b6e0a581e0a482e0a49ae0a4be20e0a4b9e0a4b2e0a58de0a4afe0a4a820e0a4aae0a4bee0a4b8e0a581e0a4a820e0a4b8e0a4b5e0a4b0e0a495e0a58de0a4b7e0a4a820e0a4b9e0a58be0a4a8e0a58720e0a4b6e0a4bee0a49fe0a58020e0a4b5e0a4bee0a4a1e0a4be20e0a4ace0a482e0a497e0a4bee0a4ae20e0a495e0a4b0e0a4a8e0a58720e0a486e0a4b5e0a4b6e0a49520e0a4b9e0a5882c,-0.40046375698513453,0.2627391815185547,"तसेच चोर अनी जंगलु पशुंचा हल्यन पासुन सवरक्षन होने शाटी वाडा बंगाम करने आवशक है,",hi,"Also, it is necessary to perform Shati Wada Bangam to protect the thieves and wild animals from the hail.",0.85
139.54,143.54,"शेलेंचा आरोगे द्रुष्टि कुना तुन आरोगगिदाई वाडा बंगाम करने गर्जिचा है,","शेलेंचा आरोगे द्रुष्टि कुना तुन आरोगगिदाई वाडा बंगाम करने गर्जिचा है,","'शेलेंचा आरोगे द्रुष्टि कुना तुन आरोगगिदाई वाडा बंगाम करने गर्जिचा है,'",e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a486e0a4b0e0a58be0a497e0a58720e0a4a6e0a58de0a4b0e0a581e0a4b7e0a58de0a49fe0a4bf20e0a495e0a581e0a4a8e0a4be20e0a4a4e0a581e0a4a820e0a486e0a4b0e0a58be0a497e0a497e0a4bfe0a4a6e0a4bee0a48820e0a4b5e0a4bee0a4a1e0a4be20e0a4ace0a482e0a497e0a4bee0a4ae20e0a495e0a4b0e0a4a8e0a58720e0a497e0a4b0e0a58de0a49ce0a4bfe0a49ae0a4be20e0a4b9e0a5882c,e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a486e0a4b0e0a58be0a497e0a58720e0a4a6e0a58de0a4b0e0a581e0a4b7e0a58de0a49fe0a4bf20e0a495e0a581e0a4a8e0a4be20e0a4a4e0a581e0a4a820e0a486e0a4b0e0a58be0a497e0a497e0a4bfe0a4a6e0a4bee0a48820e0a4b5e0a4bee0a4a1e0a4be20e0a4ace0a482e0a497e0a4bee0a4ae20e0a495e0a4b0e0a4a8e0a58720e0a497e0a4b0e0a58de0a49ce0a4bfe0a49ae0a4be20e0a4b9e0a5882c,-0.14494728724161784,0.9457411766052246,"शेलेंचा आरोगे द्रुष्टि कुना तुन आरोगगिदाई वाडा बंगाम करने गर्जिचा है,",mr,"The disease of shells is seen in the form of a roar in the eye, which is called arogya gidaai vada bangam karne.",0.85
143.54,149.54,"तसेच चोर अनी जंगलु पशुंचा हल्यन पासुन सवरक्षन होने शाटी वाडा बंगाम करने आवशक है,","तसेच चोर अनी जंगलु पशुंचा हल्यन पासुन सवरक्षन होने शाटी वाडा बंगाम करने आवशक है,","'तसेच चोर अनी जंगलु पशुंचा हल्यन पासुन सवरक्षन होने शाटी वाडा बंगाम करने आवशक है,'",e0a4a4e0a4b8e0a587e0a49a20e0a49ae0a58be0a4b020e0a485e0a4a8e0a58020e0a49ce0a482e0a497e0a4b2e0a58120e0a4aae0a4b6e0a581e0a482e0a49ae0a4be20e0a4b9e0a4b2e0a58de0a4afe0a4a820e0a4aae0a4bee0a4b8e0a581e0a4a820e0a4b8e0a4b5e0a4b0e0a495e0a58de0a4b7e0a4a820e0a4b9e0a58be0a4a8e0a58720e0a4b6e0a4bee0a49fe0a58020e0a4b5e0a4bee0a4a1e0a4be20e0a4ace0a482e0a497e0a4bee0a4ae20e0a495e0a4b0e0a4a8e0a58720e0a486e0a4b5e0a4b6e0a49520e0a4b9e0a5882c,e0a4a4e0a4b8e0a587e0a49a20e0a49ae0a58be0a4b020e0a485e0a4a8e0a58020e0a49ce0a482e0a497e0a4b2e0a58120e0a4aae0a4b6e0a581e0a482e0a49ae0a4be20e0a4b9e0a4b2e0a58de0a4afe0a4a820e0a4aae0a4bee0a4b8e0a581e0a4a820e0a4b8e0a4b5e0a4b0e0a495e0a58de0a4b7e0a4a820e0a4b9e0a58be0a4a8e0a58720e0a4b6e0a4bee0a49fe0a58020e0a4b5e0a4bee0a4a1e0a4be20e0a4ace0a482e0a497e0a4bee0a4ae20e0a495e0a4b0e0a4a8e0a58720e0a486e0a4b5e0a4b6e0a49520e0a4b9e0a5882c,-0.14494728724161784,0.9457411766052246,"तसेच चोर अनी जंगलु पशुंचा हल्यन पासुन सवरक्षन होने शाटी वाडा बंगाम करने आवशक है,",hi,"Also, it is necessary to perform Shati Wada Bangam to protect the thieves and wild animals from the hail.",0.85
150.54,153.54,"या था उप्योग सेलेंचे सच्च्ट तपुरन आरोगे रखने साटी,","या था उप्योग सेलेंचे सच्च्ट तपुरन आरोगे रखने साटी,","'या था उप्योग सेलेंचे सच्च्ट तपुरन आरोगे रखने साटी,'",e0a4afe0a4be20e0a4a5e0a4be20e0a489e0a4aae0a58de0a4afe0a58be0a49720e0a4b8e0a587e0a4b2e0a587e0a482e0a49ae0a58720e0a4b8e0a49ae0a58de0a49ae0a58de0a49f20e0a4a4e0a4aae0a581e0a4b0e0a4a820e0a486e0a4b0e0a58be0a497e0a58720e0a4b0e0a496e0a4a8e0a58720e0a4b8e0a4bee0a49fe0a5802c,e0a4afe0a4be20e0a4a5e0a4be20e0a489e0a4aae0a58de0a4afe0a58be0a49720e0a4b8e0a587e0a4b2e0a587e0a482e0a49ae0a58720e0a4b8e0a49ae0a58de0a49ae0a58de0a49f20e0a4a4e0a4aae0a581e0a4b0e0a4a820e0a486e0a4b0e0a58be0a497e0a58720e0a4b0e0a496e0a4a8e0a58720e0a4b8e0a4bee0a49fe0a5802c,-0.36312126044200677,0.9710171222686768,"या था उप्योग सेलेंचे सच्च्ट तपुरन आरोगे रखने साटी,",hi,This is the use of cell-based authentication.,0.85
153.54,156.54,अनी हंगा मी सेलेंचा ती चाँला हो तो.,अनी हंगा मी सेलेंचा ती चाँला हो तो.,'अनी हंगा मी सेलेंचा ती चाँला हो तो.',e0a485e0a4a8e0a58020e0a4b9e0a482e0a497e0a4be20e0a4aee0a58020e0a4b8e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a4a4e0a58020e0a49ae0a4bee0a481e0a4b2e0a4be20e0a4b9e0a58b20e0a4a4e0a58b2e,e0a485e0a4a8e0a58020e0a4b9e0a482e0a497e0a4be20e0a4aee0a58020e0a4b8e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a4a4e0a58020e0a49ae0a4bee0a481e0a4b2e0a4be20e0a4b9e0a58b20e0a4a4e0a58b2e,-0.36312126044200677,0.9710171222686768,अनी हंगा मी सेलेंचा ती चाँला हो तो.,mr,I am the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one.,0.85
157.54,162.54,"शेलेंचा चाँ, शेलेंचा गाबन आवश्टेट मझेज गर्बदारना अनी स्थन्पन करवाय चाँला","शेलेंचा चाँ, शेलेंचा गाबन आवश्टेट मझेज गर्बदारना अनी स्थन्पन करवाय चाँला","'शेलेंचा चाँ, शेलेंचा गाबन आवश्टेट मझेज गर्बदारना अनी स्थन्पन करवाय चाँला'",e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a49ae0a4bee0a4812c20e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a497e0a4bee0a4ace0a4a820e0a486e0a4b5e0a4b6e0a58de0a49fe0a587e0a49f20e0a4aee0a49de0a587e0a49c20e0a497e0a4b0e0a58de0a4ace0a4a6e0a4bee0a4b0e0a4a8e0a4be20e0a485e0a4a8e0a58020e0a4b8e0a58de0a4a5e0a4a8e0a58de0a4aae0a4a820e0a495e0a4b0e0a4b5e0a4bee0a4af20e0a49ae0a4bee0a481e0a4b2e0a4be,e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a49ae0a4bee0a4812c20e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a497e0a4bee0a4ace0a4a820e0a486e0a4b5e0a4b6e0a58de0a49fe0a587e0a49f20e0a4aee0a49de0a587e0a49c20e0a497e0a4b0e0a58de0a4ace0a4a6e0a4bee0a4b0e0a4a8e0a4be20e0a485e0a4a8e0a58020e0a4b8e0a58de0a4a5e0a4a8e0a58de0a4aae0a4a820e0a495e0a4b0e0a4b5e0a4bee0a4af20e0a49ae0a4bee0a481e0a4b2e0a4be,-0.36312126044200677,0.9710171222686768,"शेलेंचा चाँ, शेलेंचा गाबन आवश्टेट मझेज गर्बदारना अनी स्थन्पन करवाय चाँला",mr,"The Gabon Auschwitz of Shells and Shells, I want the proud to be put up again.",0.85
162.54,166.54,"शेलेंचा वजन वाडवन आसाटी, पुरक आहार अनी खनिच मिष्रन,","शेलेंचा वजन वाडवन आसाटी, पुरक आहार अनी खनिच मिष्रन,","'शेलेंचा वजन वाडवन आसाटी, पुरक आहार अनी खनिच मिष्रन,'",e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a4b5e0a49ce0a4a820e0a4b5e0a4bee0a4a1e0a4b5e0a4a820e0a486e0a4b8e0a4bee0a49fe0a5802c20e0a4aae0a581e0a4b0e0a49520e0a486e0a4b9e0a4bee0a4b020e0a485e0a4a8e0a58020e0a496e0a4a8e0a4bfe0a49a20e0a4aee0a4bfe0a4b7e0a58de0a4b0e0a4a82c,e0a4b6e0a587e0a4b2e0a587e0a482e0a49ae0a4be20e0a4b5e0a49ce0a4a820e0a4b5e0a4bee0a4a1e0a4b5e0a4a820e0a486e0a4b8e0a4bee0a49fe0a5802c20e0a4aae0a581e0a4b0e0a49520e0a486e0a4b9e0a4bee0a4b020e0a485e0a4a8e0a58020e0a496e0a4a8e0a4bfe0a49a20e0a4aee0a4bfe0a4b7e0a58de0a4b0e0a4a82c,-0.30707929032800446,0.978112518787384,"शेलेंचा वजन वाडवन आसाटी, पुरक आहार अनी खनिच मिष्रन,",mr,"The weight of the shells is the same as that of the bard, and the supplemental food and minerals are the same.",0.85
